,R^2
0,0.023712926697046055
1,0.020288681011534138
2,0.017403911838600905
3,0.017220528703960625
4,0.027641193051580748
5,0.022897075505414533
6,0.022359841225990995
7,0.011234427616896081
8,0.016208367586476924
9,0.02338335699496885
10,0.014644912500520357
11,0.018956641308668587
12,0.025241267512007948
13,0.022116486969934734
14,0.01658124728402477
15,0.019620433772228996
16,0.014320174157680166
17,0.017241063418557356
18,0.014046620317724301
19,0.01617621881839204
20,0.02196160319511742
21,0.01797213126897046
22,0.01676098318457342
23,0.018438063784970815
24,0.020629787360428198
25,0.01984342276922857
26,0.02215401713591081
27,0.020794689852695614
28,0.026364000384490716
29,0.014581401231757218
