,R^2
0,0.29246149157429824
1,0.30033616585130385
2,0.27295734023036533
3,0.32027096520457266
4,0.2699988636055285
5,0.2437597958664648
6,0.2252754587590421
7,0.2585870160093643
8,0.2604485294698222
9,0.2852892588648386
10,0.29335170355247
11,0.24902171921354632
12,0.2476434371452758
13,0.3257373390668279
14,0.29735857947572986
15,0.2882513246035545
16,0.2809081174784801
17,0.2051881908886124
18,0.2524980628352347
19,0.2541589888209027
20,0.3156139317862272
21,0.290288757029012
22,0.2965486176163653
23,0.2792719888204812
24,0.2844719533261443
25,0.2749279260743416
26,0.26765145763985776
27,0.28140282014829043
28,0.2729687963318024
29,0.2512386922817683
