,R^2
0,0.001449661368906785
1,-0.0008402611558488982
2,0.0023198254560008458
3,0.004878311148918568
4,0.007745725959768857
5,0.004657434787488479
6,-0.001005294549298319
7,0.00439733458990621
8,0.009582988160572903
9,0.004658526258068063
10,0.002885484549690176
11,0.002898666743736955
12,0.0010268166522243716
13,0.0009596344522423417
14,0.003728640279726858
15,-0.0005886346725552105
16,0.00459582265687386
17,0.0009722993964110804
18,0.000474083064164188
19,0.002785332918158856
20,-0.0008757196544997292
21,0.009216738874609387
22,0.0051295465095339
23,0.004395263145296036
24,0.002702097282784033
25,0.002585184856734646
26,0.007241481925543969
27,0.001582541941723914
28,0.005710040682384565
29,0.010312553069661279
