,R^2
0,0.0026254437210636583
1,0.001824921026521542
2,0.0009074849513762695
3,0.0019269803871229119
4,0.0009935860059910873
5,0.0007858447686568404
6,0.004710660686634949
7,0.0023741920584832155
8,-0.001513215627150899
9,0.0029608541064285454
10,0.00141597810609162
11,0.0006508576202453042
12,0.0008810531574043878
13,0.0028059570136115264
14,0.0019262451240225076
15,0.0037435288179828996
16,0.004668771658175475
17,0.0023966430518135295
18,0.0013453343377607396
19,0.0034254626239897945
20,0.0007065999093747166
21,0.0003779438730571183
22,0.0037452445237251553
23,0.0008824625454229018
24,0.0028987413252007377
25,-0.0001481197403647716
26,0.004979247280907595
27,0.0025896314054323355
28,1.7832234888270904e-05
29,0.0012386294233364126
