,R^2
0,-0.00013114729498719946
1,-0.00022077156589661584
2,-0.00010517785526364953
3,0.0005525384978247727
4,0.0004166573409060126
5,-0.0001690923836467073
6,-0.00028848770181399974
7,-4.0899343016098655e-05
8,-0.0005441918863705597
9,0.00014213654287431599
10,0.0006637682288993529
11,0.0012413014281540402
12,-0.00015071069820404848
13,0.00021415907195898587
14,0.0007816484106459853
15,-0.0003849287252755129
16,6.540747320793461e-05
17,0.00035766289283689634
18,0.0007109382562554556
19,-2.922813340977548e-05
20,-0.0007216607951465726
21,0.0004269792993896182
22,0.0006905342171006357
23,3.832455608132612e-05
24,0.00016044523756653106
25,0.0003121536387593604
26,0.0004156802299115636
27,0.0005819444252886941
28,-0.0002324879437181071
29,-0.0001155948130044937
