,R^2
0,0.0034154299017717937
1,0.0038467123493228783
2,0.005351574797089476
3,0.006062672877327646
4,0.0038610289059303193
5,0.0048556186702092274
6,0.0071013840934405215
7,0.0030849976617102204
8,0.0028999157983435886
9,0.0023430314259510476
10,0.0010166901243180426
11,0.007936481166193943
12,0.003759974301166924
13,0.00343752353896698
14,0.00440965079692357
15,0.0017855384035371236
16,0.0011508013468871647
17,0.005631815265157214
18,0.004336399817772341
19,0.004361012482105298
20,0.0010340858449835455
21,0.0006091080603509713
22,0.004446915118818007
23,0.007106168837481719
24,0.0026783099658308496
25,0.003263618343607666
26,0.004517321455278833
27,0.006447628705776198
28,0.006542587446968895
29,0.0022263704959493147
