,R^2
0,0.0015443771180440047
1,0.001956620891014782
2,0.0007438972924028731
3,0.0017359202131969065
4,0.0019053930307636469
5,0.002180566954101737
6,0.0017660804614682002
7,0.0022325777354261778
8,0.0018220517120030033
9,0.003149139563183745
10,0.0022724948838207526
11,0.002248333103379796
12,0.0016070244764405661
13,0.0025069424331967127
14,0.002655966242564589
15,0.0007778427484605999
16,0.001741906171794927
17,0.0026569279213831676
18,0.0014573586009209993
19,0.002526578128405954
20,0.0018110521364366194
21,0.0016249274434870786
22,0.0024391008957360683
23,0.0018003476833000631
24,0.0024253313527199394
25,0.0019241961798124319
26,0.002540719984722384
27,0.0036659549763103927
28,0.0018038353849127997
29,0.0030210760279665294
