,R^2
0,0.0047443724704623325
1,0.0005583514815339363
2,0.006410151269392816
3,0.0096756404979772
4,0.004592194754957424
5,0.0054924543902898915
6,0.00914496884385163
7,0.007924263685503252
8,0.010713487018619405
9,0.007280052169134521
10,0.010437917261507335
11,0.010081672046838297
12,0.007435027881877332
13,0.0029025652679894876
14,0.0057735235923402906
15,0.00720826094281235
16,0.010504149728689294
17,0.00676815037021905
18,0.014495646209743862
19,0.0074948308687216025
20,0.003823085319678121
21,0.001762415117965599
22,0.009285020963115453
23,0.009104062750104003
24,0.007440140619302538
25,0.010491698045267173
26,0.003733234143727726
27,0.012258710304378972
28,0.00813891550514656
29,0.0003811567689668838
