,R^2
0,0.03651545988923266
1,0.04643789394042552
2,0.03666499880583873
3,0.033060283423815395
4,0.03915503250174024
5,0.018458521657257698
6,0.04465938168716033
7,0.036536675455207
8,0.033062894504341855
9,0.03807987188532347
10,0.03088260488142569
11,0.045961879305017606
12,0.02586223155747247
13,0.02933682754955247
14,0.026603608993787775
15,0.05326061946371197
16,0.050830861227097124
17,0.0245706985416021
18,0.0348532592673656
19,0.04270545698796413
20,0.026925666327137776
21,0.03409010666995693
22,0.03950308984774398
23,0.0370411580160912
24,0.041231772778122955
25,0.035648586586247366
26,0.05539770659517762
27,0.05011881326650913
28,0.04913070798318819
29,0.0350337923893812
