,R^2
0,-0.0009907133358439957
1,0.0006051676204849032
2,-0.001093475832100399
3,0.00030817575814090503
4,-0.00026654319294783235
5,-0.0020257284836264766
6,0.0001611326294286286
7,-0.00023994833765539347
8,-0.0012838579075884482
9,-0.0006420361998791257
10,-0.0008984206183980659
11,0.0004429095431153218
12,-0.0013069702786296933
13,-4.986043555255115e-05
14,-0.0016680832666444712
15,0.000899140399056586
16,3.839696629270861e-05
17,-0.0014150348009107638
18,-0.0015898864127021906
19,1.1864490843782605e-05
20,-0.00115524402434386
21,-0.0009158443158256979
22,-0.0002408900287504956
23,-0.0014088105334519874
24,0.00021274739238963392
25,-0.0005823935329805074
26,0.000639096215719448
27,-0.00013381718130767162
28,3.9343759933307965e-05
29,-0.0012196244495544795
