,R^2
0,0.7215391456431999
1,0.6371177990061572
2,0.7689816229532438
3,0.7629833082587791
4,0.8100732443316963
5,0.6710453496193289
6,0.7660268693810874
7,0.7315633372912191
8,0.7601687210521069
9,0.8075835434995444
10,0.6988288625448578
11,0.831771758519644
12,0.7913627241471723
13,0.73217200194272
14,0.769905744715502
15,0.6776710901918694
16,0.7684585104151851
17,0.7132393411351488
18,0.7959491006792432
19,0.6851299608318082
20,0.7943841504416085
21,0.6609438140284287
22,0.7630452572675075
23,0.6572237096836386
24,0.9079304693761192
25,0.7564391941126896
26,0.7546610467771164
27,0.6691833622238295
28,0.7690290783781941
29,0.6862022540887076
