,R^2
0,0.007100844151153862
1,0.006168189436626781
2,0.005894756222673991
3,0.008549330693205515
4,0.007113514676257204
5,0.007618386413471789
6,0.003946585960828419
7,0.0035049956750545785
8,0.0038291721329857253
9,0.0075968443870343405
10,0.007610759559823155
11,0.006006048787073115
12,0.008246945750288837
13,0.006484209394296281
14,0.0026978196848199687
15,0.004544989752739981
16,0.008394871181548358
17,0.00576098502841127
18,0.004108013608356553
19,0.006847152594500638
20,0.005295846994864961
21,0.00403810445730135
22,0.005237882916746206
23,0.007895901673874661
24,0.009757704959761249
25,0.005532641342989808
26,0.0034308932867850306
27,0.007780571775697798
28,0.006692877557712196
29,0.003685861404840618
