,R^2
0,0.007754408987736938
1,0.018050623844487967
2,0.01846216289694269
3,0.005960940465421505
4,0.0148169036278184
5,0.013913909051644469
6,0.0044345502647837876
7,0.016292291008398352
8,0.011988072846117692
9,0.0076786481141005725
10,0.012535425236692932
11,0.011077728474419124
12,0.017411834510982716
13,0.013567067818290535
14,0.01666686239099413
15,0.014269699611287323
16,0.02284858858719352
17,0.004694675044844665
18,0.009465229573566436
19,0.015552324748642543
20,0.005270583363753301
21,0.015159374578862517
22,0.009200297915424427
23,0.01772750920749655
24,0.009589028216659523
25,0.01842920552226912
26,0.008628458436536146
27,0.011429957975579663
28,0.010247601951232754
29,0.011284589793720934
