,R^2
0,0.009793894495666589
1,0.014365299203614179
2,0.007529434049535877
3,0.017440439810477715
4,0.014187395867427233
5,0.017778087030296263
6,0.00677760966151586
7,0.016677771077409975
8,0.008757877784085988
9,0.005831444551439802
10,0.010972448534033896
11,0.008027423797764222
12,0.013450873285058118
13,0.016532437462977945
14,0.012107614068173067
15,0.020202984150248682
16,0.01279299105984899
17,0.0170035203280805
18,0.014704741643873698
19,0.01655250095552463
20,0.0103871864991949
21,0.013674882031132207
22,0.010493755808527294
23,0.014693812747570312
24,0.015483723438497021
25,0.015225138778150016
26,0.011842551751488628
27,0.003786538721816113
28,0.01656960366102167
29,0.01770921487763033
