,R^2
0,0.009203733936599678
1,0.011029725889972086
2,0.00875060597969024
3,0.01263574536390133
4,0.00666638186448687
5,0.011286226292736457
6,0.008669154255634082
7,0.012528688588803738
8,0.007049837197812492
9,0.012539654606510964
10,0.010669702835522932
11,0.010846479450608015
12,0.010172239663527538
13,0.009958430536189278
14,0.008601929856447366
15,0.012091254956722808
16,0.009612973453447249
17,0.013481492976562981
18,0.01662029559970235
19,0.010439166611185602
20,0.011085571539319328
21,0.010350867239522055
22,0.008564659510317596
23,0.012789840076595116
24,0.01254706540782613
25,0.008259300402741365
26,0.01040423875928198
27,0.006585804936441453
28,0.010403698087912638
29,0.01278873866693686
