,R^2
0,0.011091955896092465
1,0.012909203424959825
2,0.012548877439599204
3,0.024953959645407364
4,0.008994982252384487
5,0.017246515511675553
6,0.013858593767776206
7,0.0255837044914472
8,0.026626027321459578
9,0.025328515080298653
10,0.02313596641128568
11,0.013070250429458974
12,0.006214874870861697
13,0.012222129085967204
14,0.01539789623142418
15,0.010522257575660388
16,0.004330214420842804
17,0.025665050807630374
18,0.019423789388368307
19,0.0067786184648754855
20,-0.0022912455579483515
21,0.004972308041219953
22,0.015477743024634782
23,0.00856387880768339
24,0.010557155597247792
25,0.015770037131417336
26,0.01904195273849174
27,0.020492964903199073
28,0.013245839987772068
29,-0.00041777674790655084
