,R^2
0,0.25003928300741063
1,0.3269947232203051
2,0.3216422891711036
3,0.2613551307748959
4,0.3218279987818341
5,0.276958790518138
6,0.3058905892909255
7,0.27657407684953095
8,0.34288789513187423
9,0.2634068407967066
10,0.2689882786199752
11,0.2850283151818124
12,0.30048022198748037
13,0.29315539279949043
14,0.29141468607396914
15,0.3001836068513003
16,0.27306379682236426
17,0.2636250901527116
18,0.2352593085130814
19,0.321737370372296
20,0.3008216350595011
21,0.25808095205097115
22,0.35078262395502346
23,0.2785119346532253
24,0.3177480030359324
25,0.331987106555819
26,0.2778753654513172
27,0.24946841531005026
28,0.32802994943375674
29,0.3119139690348064
