,R^2
0,0.362644499690828
1,0.3481858768094487
2,0.354974752072573
3,0.4338287504707222
4,0.38320772439953443
5,0.34853309308540215
6,0.4541358948661086
7,0.35964203865860533
8,0.3831970596726141
9,0.4056135541442317
10,0.36395506150252477
11,0.3912519993057162
12,0.3541358591573206
13,0.33320602852837367
14,0.3767705366881332
15,0.4002773607439106
16,0.40540981459315995
17,0.353179226655319
18,0.3885373696823379
19,0.30733225004116826
20,0.32845596945531064
21,0.39142313698069564
22,0.3939503978836826
23,0.4533115891367775
24,0.3739063385160093
25,0.3310999942852002
26,0.36808799600654485
27,0.3625265140484678
28,0.3881782568764257
29,0.37582695167861535
