,R^2
0,0.014547388238338677
1,0.012749532706477273
2,0.01526629386182976
3,0.016330047051377417
4,0.011900501996635171
5,0.016534852898916763
6,0.018013152317399417
7,0.009915908908890825
8,0.013455930097961866
9,0.011280934597494685
10,0.013297553584396327
11,0.02045386935249771
12,0.014696410027605245
13,0.00822756005454417
14,0.01251151715028509
15,0.012204766256879052
16,0.01130741683592984
17,0.01395209574639733
18,0.016886349406461054
19,0.019679295202396863
20,0.017352192268877964
21,0.018552273505046735
22,0.009085486727034797
23,0.010488377977114327
24,0.011796505911009336
25,0.01491391113344509
26,0.006986519720920348
27,0.008511300751443573
28,0.017614306989703454
29,0.010079995723948576
