,R^2
0,0.06975161047129852
1,0.07657200558910315
2,0.06622240167994786
3,0.05478216900287103
4,0.05873250156821297
5,0.050791320594179346
6,0.06359680718752236
7,0.05164421395261509
8,0.07388592201669708
9,0.04909617619011519
10,0.05047663695818305
11,0.062240521587001774
12,0.06212060828504473
13,0.06440339411993301
14,0.07361655257893285
15,0.06638673354090252
16,0.06031268989051364
17,0.059810737342907205
18,0.049198767217849215
19,0.06312192298212238
20,0.04355744478922152
21,0.06607807806464427
22,0.07068468516751192
23,0.08373976502345515
24,0.05442508822878289
25,0.07229034444305826
26,0.055666666931772135
27,0.06896428074022365
28,0.07725366895431651
29,0.08838142675130867
