,R^2
0,0.01348416280571929
1,0.003737894447273238
2,0.01529031986635676
3,0.014808030149236595
4,0.003373874271765942
5,0.006789006943528575
6,0.019051220070420483
7,0.006132986190967804
8,0.01753055346310428
9,0.007354503470224705
10,0.007517000849240452
11,0.024583304770236736
12,0.013523025882480222
13,2.6052409268895182e-05
14,0.00301028221296884
15,0.011142638473362498
16,0.016617330343575598
17,0.007952789054443188
18,0.012434603956398838
19,0.010793387011440614
20,0.013584207681031746
21,0.01981590427497215
22,0.00899316096213143
23,0.012320788283496809
24,0.011252841976135741
25,0.0017124342808538806
26,0.010210425533963563
27,0.006070489997653472
28,0.0040978297614306936
29,0.011905158696919771
