,R^2
0,0.007925708939434672
1,0.005414756584556035
2,0.006263783209812912
3,0.007055641478037167
4,0.0070757543492004915
5,0.007393207942939739
6,0.006039836588887848
7,0.007083323035047551
8,0.0074081676624830894
9,0.006230205124679533
10,0.0044484506581669025
11,0.006061923045013851
12,0.008404432237242632
13,0.005468634705416808
14,0.007516306153538932
15,0.007631666906603218
16,0.005773185703703443
17,0.0063664696099541285
18,0.004767760218763573
19,0.0056600877644766845
20,0.00803783853803397
21,0.002854264336951906
22,0.005923095501978892
23,0.00773524061884423
24,0.00897989108302244
25,0.007738286610683209
26,0.009489219750049904
27,0.005492108477534563
28,0.005993975599789647
29,0.006813308904982218
