,R^2
0,0.0007221546601694495
1,0.00033227784185185794
2,0.000521112590260886
3,0.00046134207861769916
4,0.0007067717015331043
5,0.0005368255691696744
6,0.00042336787963037636
7,0.0003492276916589043
8,0.000541278905439535
9,0.000405654388529908
10,0.0010800290462458229
11,0.0005494497597094972
12,0.0005608662579662527
13,0.0005950115313745341
14,0.0007385014770389109
15,0.000979795544538975
16,0.0009913260814465863
17,0.0012242524776632235
18,0.0012851812703866816
19,0.00035546341850500873
20,0.0007463025290547209
21,0.0009086022075274203
22,0.0009058176625683645
23,0.0005023756095723364
24,0.0007999192664479571
25,0.0001680872685465573
26,0.0007038996933849129
27,0.000814228135181061
28,0.0007405912005160609
29,0.0011240756080583836
