,R^2
0,0.01021713764478227
1,0.007526172515370022
2,0.007939809279949306
3,0.009211096918155248
4,0.009955503482732664
5,0.01534209779311635
6,0.014799877985424259
7,0.0118536600037068
8,0.013759363598625174
9,0.009410965033939012
10,0.008378031953426235
11,0.013482497191025788
12,0.007508037327904726
13,0.015249838319507103
14,0.013914371797046021
15,0.012356289704671841
16,0.013740056653226085
17,0.012874231551766813
18,0.012129910433629543
19,0.013665996663683289
20,0.014749147411208363
21,0.012444876713458064
22,0.009411540969225585
23,0.014035168757509098
24,0.011168552041577517
25,0.01723885861168284
26,0.015951882068392154
27,0.012293346372779346
28,0.012194238525831347
29,0.010938494237711205
