,R^2
0,0.009659268789631859
1,0.006290471392492725
2,0.009345529253186657
3,0.007870952255136676
4,0.0038321295605199257
5,0.005603778271257132
6,0.0009323718127813851
7,0.006800405994933367
8,0.004313308938186822
9,0.005400822139707606
10,0.0024907463389601814
11,0.010465601012447645
12,0.0024963658196707206
13,0.006513443440231748
14,0.00969467387783518
15,0.009734729654200525
16,0.01158030170342439
17,-0.0004159279900661783
18,0.00012375155340182964
19,0.006153223761477644
20,0.0028887566044856205
21,0.005049857572301586
22,0.0034822362848915267
23,0.00938968683135144
24,0.005381542445939802
25,0.003092943383606883
26,0.00923304194968777
27,0.007265060082901953
28,0.0010014541645242403
29,0.0020757367030971308
