,R^2
0,0.019709959160351564
1,0.01789292466912551
2,0.0020799640809030517
3,0.02177509251697418
4,0.015301073450169289
5,0.007007159770326066
6,0.021462846885122233
7,0.01692099622454102
8,0.017652962681765416
9,0.02629992602693676
10,0.012034945511530393
11,0.021407872615398227
12,0.01945902946940281
13,0.016783249389216492
14,0.019608246632718873
15,0.011412757631213188
16,0.009234754394583211
17,0.012954033674916987
18,0.01795398734489062
19,0.004962273156866037
20,0.019756387029775224
21,0.02026176819978176
22,0.01589071008559062
23,0.022125777754707365
24,0.026829007554786455
25,0.017269980714950672
26,0.02126681404163333
27,0.010832082216334138
28,0.019382360902717388
29,0.030383522610243352
