,R^2
0,0.0035591438183438795
1,0.017282780831132438
2,0.012440691274673399
3,0.015961398871922827
4,0.009944425601598583
5,-0.0016631945664603576
6,0.004789186901301812
7,0.01883955047595076
8,0.020187347772356534
9,0.011460632339282517
10,0.0018791376410732807
11,0.016016128898074133
12,0.021700339146545233
13,0.010187892167459744
14,0.013534281113890323
15,0.02097934158411041
16,0.011482767715552566
17,0.006876995818495435
18,0.014354653660016425
19,0.02356008666212961
20,0.007015267690483662
21,0.018277858341996134
22,0.010819898194849076
23,0.007773166448984181
24,0.017137081253964292
25,0.0030592753376635917
26,0.015002574378729872
27,0.019087526750113493
28,0.01601472927269043
29,0.030254415588739758
