,R^2
0,0.012642709143259157
1,0.0051431231204494
2,0.012907258242420006
3,0.00981675607577992
4,0.009084670804687667
5,0.010726338731973817
6,0.010072824657767376
7,0.005860458596810059
8,0.009727357877800547
9,0.00970947015449608
10,0.010552657801027654
11,0.010521002902612153
12,0.01073177963378047
13,0.011805076976053153
14,0.010827298778425032
15,0.010085258502697703
16,0.006710188813103923
17,0.010891202225758345
18,0.006057048425626932
19,0.006357206800280291
20,0.010763392470172328
21,0.008669591761859774
22,0.0089386318848661
23,0.012635898863668005
24,0.011047318641665638
25,0.013940368842278228
26,0.010506143724330785
27,0.008154815349720401
28,0.010003726688215253
29,0.008320383973814183
