,R^2
0,0.010011029404995209
1,0.01401514307649987
2,0.018487587088575563
3,0.012141177014650895
4,0.011313043846100213
5,0.020746091615009732
6,0.01909370638820518
7,0.023090428185274292
8,0.010565588605883636
9,0.02048611443258186
10,0.02016168064529955
11,0.01328120761106577
12,0.016525980550721964
13,0.01495927534727226
14,0.018708857547949043
15,0.007868744952993612
16,0.015359236581975466
17,0.019100670412210086
18,0.013755696736178047
19,0.013414220451834824
20,0.017305104582409636
21,0.013335997220688345
22,0.02141601093045531
23,0.013578062790883916
24,0.020297959460296
25,0.007503270876949242
26,0.009923018627191693
27,0.01263923774029374
28,0.02037745601043628
29,0.017880112646714075
