,R^2
0,0.017205719985898482
1,0.020998251705341642
2,0.01707051516299074
3,0.01819970288977102
4,0.0188511910326975
5,0.019012673831561022
6,0.022858924963300664
7,0.020305848290736006
8,0.021980391308525027
9,0.014227369282258873
10,0.01780428919445398
11,0.01976372143690097
12,0.021686543862088126
13,0.023649635340164066
14,0.02313297423872307
15,0.017026638867723376
16,0.020346684975170226
17,0.027516464172145816
18,0.01825384601451252
19,0.01757781462506358
20,0.023044883137652183
21,0.01914939192550935
22,0.022636890324241987
23,0.027010088157647272
24,0.021872198714512514
25,0.016222224586041833
26,0.021535838643549687
27,0.02023341002279666
28,0.023533750393825104
29,0.025049784433100908
