,R^2
0,0.09969618177112982
1,0.11944153169950955
2,0.11681331684150154
3,0.11616446184312879
4,0.1290041274490098
5,0.14406250428759204
6,0.11749830716578458
7,0.1671369561686381
8,0.14290579933887915
9,0.14421883793809254
10,0.14366960679555796
11,0.12375973235362381
12,0.12353514755365591
13,0.13748365670965834
14,0.14327891188242792
15,0.1489675315039679
16,0.12548799486900541
17,0.1336474349252904
18,0.0988871382704728
19,0.17256833558355666
20,0.1431063753545766
21,0.116013125456909
22,0.09687171634579472
23,0.13161125625186487
24,0.11595413009475353
25,0.1109073987490764
26,0.08361406427793461
27,0.15365225740387745
28,0.17042846725318295
29,0.16206285844843027
