,R^2
0,0.014163753883364993
1,0.010585779852996913
2,0.00876643793792864
3,0.009738389639329048
4,0.009511079480445606
5,0.012893985461418622
6,0.010387636833472769
7,0.01355646592879367
8,0.009529644686190775
9,0.007679661197828702
10,0.007452553895784475
11,0.012496735515633906
12,0.010381065952003166
13,0.01035129669014656
14,0.00976851441451565
15,0.00941539926424595
16,0.015339054474308833
17,0.009207266305731654
18,0.00959842148813339
19,0.010223108551081217
20,0.013650945395997205
21,0.006874691222714446
22,0.005452672569406625
23,0.010016929623824389
24,0.009470225574626512
25,0.013731967683420887
26,0.01093432638535119
27,0.010155175661317961
28,0.010856220829706054
29,0.012342961096679428
