,R^2
0,0.09957545688693925
1,0.121024350123898
2,0.1122740226056379
3,0.12211929824194168
4,0.11403046835115838
5,0.07098587462075345
6,0.0964419572369547
7,0.1122025469754463
8,0.14093014460711506
9,0.09209810704371246
10,0.12052898107490773
11,0.0903442595607783
12,0.11841553764223478
13,0.09295320819465192
14,0.10267247118137579
15,0.10809078293682894
16,0.09969437899199596
17,0.08898552415353922
18,0.10566023426532178
19,0.11199230474140365
20,0.10948577623979439
21,0.1322947711543575
22,0.12390992818280644
23,0.1199044123729458
24,0.10767483749623019
25,0.11850952562039174
26,0.11168956969604049
27,0.13043909221925398
28,0.11902585275928157
29,0.10500491359783959
