,R^2
0,0.012101263940591855
1,0.011914962540933272
2,0.012885343636212854
3,0.01242921698861621
4,0.011733631716833504
5,0.011494987471267648
6,0.015605178621665994
7,0.00779360838947829
8,0.012629639121094716
9,0.01249098378178859
10,0.012613359140047575
11,0.01449791325890093
12,0.011743527214782112
13,0.012141961547919022
14,0.014242581922975894
15,0.012538884820080809
16,0.013543723690124798
17,0.011286428141760396
18,0.01184452058740737
19,0.010767813490020539
20,0.01448274298910912
21,0.017549005393381334
22,0.011755784307777128
23,0.014877934605482923
24,0.013305364600636027
25,0.012746465743151747
26,0.009893252468376579
27,0.013755641071648728
28,0.010483495314567826
29,0.011993814371251244
