,R^2
0,0.15151136820441025
1,0.16463826016470218
2,0.1659905078138706
3,0.16545451476077366
4,0.21435624232926254
5,0.16278688764198945
6,0.16909048413556305
7,0.1779571721401103
8,0.15420081387389684
9,0.18267649326387625
10,0.18321087294417726
11,0.15644478079000668
12,0.13177026172340645
13,0.18454145406508282
14,0.1978612896996933
15,0.18436113154718203
16,0.14059310152512117
17,0.14955978260003278
18,0.15544176196415893
19,0.18783367369678416
20,0.17564633746688108
21,0.1983438575912181
22,0.19484236550987666
23,0.18826336386788967
24,0.1496444828563177
25,0.1600994659784879
26,0.16605897632175037
27,0.15475575612880665
28,0.19213058983891307
29,0.17448814743826413
