,R^2
0,0.06293552533635693
1,0.05473386016305937
2,0.06713606851107612
3,0.04294604422366621
4,0.04471060725163445
5,0.05796398664178859
6,0.0821718685162176
7,0.035197745472584474
8,0.06092046435244336
9,0.03559958016403686
10,0.03104327646094529
11,0.05361725548869034
12,0.053133764164714714
13,0.04791588295564342
14,0.05276629374719177
15,0.04865460397016852
16,0.056913177552592065
17,0.04974446258349663
18,0.055392580365148936
19,0.04614742725615084
20,0.0659576771871756
21,0.03202326435732805
22,0.04926146698352751
23,0.0626208039388697
24,0.05491663767010391
25,0.055292866849440014
26,0.05128539321130221
27,0.03725797840789269
28,0.052907107173184253
29,0.03984569702714702
