,R^2
0,0.017430271092243044
1,0.017912954659020652
2,0.01450765783796426
3,0.03532686051802347
4,0.02270358362255931
5,0.01829237150461127
6,0.01814395993670448
7,0.021031710263075265
8,0.01577602362200492
9,0.03214850346305442
10,0.028803685836524262
11,0.02228687664507445
12,0.025715396777150623
13,0.02464624004752669
14,0.02812915967045604
15,0.03158213811721522
16,0.01831294232037639
17,0.031966622477673456
18,0.021486457026721917
19,0.025436738232736955
20,0.019704107596747344
21,0.03105580375512862
22,0.024348115970349582
23,0.01993139648071529
24,0.0208272893442476
25,0.02646480499808268
26,0.015809290392324926
27,0.030492486271183172
28,0.023601453669426675
29,0.026969420599743277
