,R^2
0,0.8733728965951151
1,0.8567654194968819
2,0.9001132751276344
3,0.8814545047146545
4,0.7910973848287737
5,0.8006419380631287
6,0.8260761156652956
7,0.9151843134581343
8,0.8874006232380696
9,0.8281653016785313
10,0.8813980409965778
11,0.8114237690509094
12,0.7826986996432292
13,0.8578509531017167
14,0.9197006114885848
15,0.8690297500108881
16,0.9204526349398428
17,0.8196785786657024
18,0.8075157800265305
19,0.7660855058926157
20,0.7545553238987592
21,0.8709420423809309
22,0.8978232883328845
23,0.8642034468730371
24,0.8149537490684926
25,0.6967425904122166
26,0.8796468247508111
27,0.8798920526618033
28,0.8831159670478488
29,0.8423063835556399
