,R^2
0,0.007256805361823715
1,0.022016602536178764
2,0.02898035993465653
3,0.01295371667866263
4,0.015366551158980779
5,0.010806504194395106
6,0.013677197536113739
7,0.017279274051028803
8,0.01777086091734703
9,0.01565437380681911
10,0.010009911867782106
11,0.013332125271513617
12,0.026162883858134034
13,0.018705251878145868
14,0.024371248841770776
15,0.009296306968214152
16,0.014539207462582304
17,0.009498447938862564
18,0.013264553321409522
19,0.012693541279659715
20,0.01574888743929903
21,0.011946641614166031
22,0.01186570413909216
23,0.01091057034735854
24,0.015699686436673632
25,0.023258064599704587
26,0.019001970275328905
27,0.012764236793339268
28,0.019182678696430644
29,0.01878089583954823
