,R^2
0,0.00822614191526938
1,0.004261637037339061
2,0.0037456896328332823
3,0.007216657500786594
4,0.011146693937030827
5,0.005323859399896991
6,0.007123543607497007
7,0.012645010018922043
8,0.003957437571618594
9,0.006040216337266591
10,0.00512933214847866
11,0.006531671330610167
12,0.006975240469025423
13,0.009952558530394784
14,0.006554757121889687
15,0.005877151548087545
16,0.002764515849843052
17,0.006882436895661481
18,0.006901676456428807
19,0.008764049665460294
20,0.007041310790274258
21,0.010421641302498785
22,0.011614232501528043
23,0.011133238384050781
24,0.007168222031370464
25,0.0062904260971783366
26,0.004896764220881478
27,0.01202950086835941
28,0.006239593921438691
29,0.0065453915027784415
