,R^2
0,0.11376978394991111
1,0.10178792513884016
2,0.09776051268372443
3,0.09648974842666957
4,0.09817613396585756
5,0.12158370301176269
6,0.09207360173494439
7,0.09992978840966626
8,0.09144383160555614
9,0.11174784236424817
10,0.10347769492617664
11,0.10322346033753771
12,0.11765836169652899
13,0.08960608742573228
14,0.08695201670319719
15,0.12449349526527898
16,0.12300435814241995
17,0.1153289341607815
18,0.1139912205616207
19,0.08969883066990958
20,0.10842113555045063
21,0.09337209423329174
22,0.11073191500539492
23,0.09887247684072231
24,0.10731288700316421
25,0.11854621264264276
26,0.08080760683741262
27,0.10894766340297901
28,0.1064688595738027
29,0.0986201694165929
