,R^2
0,0.0114444777428091
1,0.013063754753747325
2,0.013241699418363173
3,0.011737282602736543
4,0.015999269933203886
5,0.016689047734207874
6,0.014199174969096284
7,0.01485360268733249
8,0.017546415705061547
9,0.011245377297395165
10,0.012578396002795311
11,0.014452539839849399
12,0.008139390567669547
13,0.014841198054286409
14,0.010835268159149591
15,0.008966804147322871
16,0.009298656699105345
17,0.012661550632419472
18,0.01344901776715468
19,0.01159893963968317
20,0.011599783413551501
21,0.011689659442951084
22,0.01673213331581702
23,0.015826534833770278
24,0.013126921424163829
25,0.014163330678693686
26,0.014822959104555333
27,0.009905963724559985
28,0.015170559406995965
29,0.02335548494096007
