,R^2
0,0.011299135676856586
1,0.010865820438698437
2,0.010832488117312078
3,0.010182089667105876
4,0.011424815718811154
5,0.014433975048225078
6,0.009914645566370228
7,0.0022936382201391714
8,0.011769759758103238
9,0.016787060525425557
10,0.020465339183965647
11,0.009728580464858805
12,0.0035078293206517452
13,0.016340077882288306
14,0.01035655358942933
15,0.015484642949857852
16,0.009214873486646735
17,0.00544939226067831
18,0.0046688015276386
19,0.004967111568386806
20,0.0077320480830667115
21,0.009210868878472556
22,0.009696278211823506
23,0.010343844593730389
24,0.011688200005826377
25,0.013111094457529227
26,0.008499160036971043
27,0.0031349937182385545
28,0.010254799448604857
29,0.008348033624983042
