,R^2
0,0.005775475837731414
1,0.007390813142501229
2,0.010846957661599488
3,0.007345807604261068
4,0.004875714668441278
5,0.007440276297055903
6,0.007354821270474821
7,0.008161538461694429
8,0.007897172306736366
9,0.004144243161835259
10,0.00832214511869489
11,0.010601018185048994
12,0.0037064595565443614
13,0.006140624014124185
14,0.010210654990371992
15,0.010475032545362195
16,0.009630560331307048
17,0.004493409761208045
18,0.005652157148335224
19,0.007571652182744137
20,0.004366737170957036
21,0.00635289243584003
22,0.007973579073754955
23,0.007065347034477809
24,0.003586650207486719
25,0.006929933236051289
26,0.00765627227411636
27,0.0039007287406006563
28,0.00815457823965171
29,0.006999588583547434
