,R^2
0,0.015583244916491101
1,0.011953363163104358
2,0.008544538790224987
3,0.009359272714343558
4,0.014996834479772958
5,0.012523376626570326
6,0.01083932287874012
7,0.01231163954960346
8,0.01764838506415478
9,0.00967095493833614
10,0.011640355449582751
11,0.01126197883908675
12,0.015967402523789476
13,0.01082650490332826
14,0.016243036081467044
15,0.00949680370403494
16,0.018121009420786094
17,0.011775874779119455
18,0.009602327187753112
19,0.016962466022466316
20,0.00871750918310421
21,0.009650755661425814
22,0.013238120291353517
23,0.011182060308601027
24,0.011758241466507502
25,0.014754493025861626
26,0.01696829118061194
27,0.011930404724687094
28,0.00537093707485059
29,0.015354898301223718
