,R^2
0,0.23214445759527447
1,0.2515413345977865
2,0.212170670098338
3,0.23036387518645352
4,0.20487728410979233
5,0.23761126554012335
6,0.22220132238212176
7,0.21590268284520442
8,0.19887039331892942
9,0.25609235326638713
10,0.23286328651313837
11,0.266085255125054
12,0.1979057830133072
13,0.24817604927760073
14,0.2771174010875682
15,0.2503884452701416
16,0.2370855713399801
17,0.23637441367208478
18,0.18453510556673702
19,0.202436009678309
20,0.26669165906834225
21,0.22117290939346657
22,0.2964730697545134
23,0.24441474715750877
24,0.20566280203003928
25,0.17541075509481396
26,0.25100709994172965
27,0.1970890471079889
28,0.23425924547859112
29,0.24522711638970962
