,R^2
0,0.0003278996915117016
1,0.0004105180051274804
2,0.0005954230923312931
3,0.0005108376582971808
4,0.000822561115353726
5,0.001354305658160193
6,0.0006921664544858874
7,0.0005216896732008758
8,0.0009002194239376982
9,0.0009713218707566584
10,0.0006683757694226911
11,2.1273729956527987e-05
12,0.0002836041583228477
13,-4.350953659715273e-05
14,0.0007623696686108739
15,0.0009530009872281697
16,0.0003950334895527208
17,0.0005935224712666498
18,0.0004357213652940173
19,0.0009452739026666324
20,0.0007407021800249769
21,0.0008229930067142899
22,0.0011044803826917304
23,0.0008589241826773009
24,0.0006539981995323796
25,0.0006659900848706712
26,0.0004743922131106304
27,0.0012734772063017763
28,0.0007567199955504922
29,0.00019168217184473146
