,R^2
0,0.13322936339783353
1,0.11793215081502484
2,0.11073513940082869
3,0.11708979364763461
4,0.10944707709083568
5,0.12484933491461148
6,0.10783635757254151
7,0.11721953477126779
8,0.13017184131796355
9,0.14727919218491703
10,0.11556698677325639
11,0.09453596825406274
12,0.1112774892905446
13,0.12971485134252536
14,0.09575049913658429
15,0.1276330898394108
16,0.11146215626153289
17,0.11255380394502124
18,0.1308582478053858
19,0.12219104383592339
20,0.13734127916756955
21,0.11819532727561854
22,0.13305794717384323
23,0.13017470345020543
24,0.11667994699853534
25,0.11703184825477819
26,0.13028671521059276
27,0.11062012920791175
28,0.1313033016210593
29,0.1201260511691814
