,R^2
0,-0.0008621755636762929
1,0.0071054577347557935
2,0.004837269094868035
3,0.003390637125892937
4,0.0005904471481888995
5,0.004759622804129782
6,0.0009201386566591863
7,0.0013203820205950345
8,0.0017615556020607048
9,0.0016999375356038238
10,0.0017405516891824124
11,0.002692715311480076
12,0.0016395816793077778
13,-0.000617026527813147
14,0.0045420324227258835
15,0.002024056274441466
16,0.0012717187060130586
17,0.00407157886933629
18,0.001418228246081732
19,0.0014096082975374458
20,0.0021964446909084057
21,0.004025269839410428
22,0.0032974188542667093
23,0.0022243035836154723
24,0.0053103092991640954
25,0.00245675516631505
26,-0.00016087199440806277
27,-0.00037850943019435146
28,0.0022914169408484453
29,0.001080331688832148
