,R^2
0,0.0029322980889930905
1,0.00133953350360827
2,0.0029198113386740276
3,0.0029773179525136584
4,0.0010592161857803095
5,0.0019688290732911007
6,0.0031808026593111993
7,0.0022705318146254427
8,0.0028684167280097483
9,0.0013981277137515846
10,0.0031189151944462923
11,0.003559843746415492
12,0.0030701766510670137
13,0.002805689553903701
14,0.002436347034573516
15,0.003856052690859535
16,0.0011658716357578758
17,0.001949299347416833
18,0.0008194904835016059
19,0.0022651193785583335
20,0.002102247483719899
21,0.002968468356570386
22,0.001924321740969459
23,0.0013533928772339054
24,0.002669747418199253
25,0.0011785064412066504
26,0.00195900829862361
27,0.0025728029103528893
28,0.002953702561629301
29,0.0022256201546084764
