,R^2
0,0.008754080169907863
1,0.006534893295918387
2,0.007403370835242229
3,0.006713312163678653
4,0.005022288613799164
5,0.0046053252111182275
6,0.00791792257134849
7,0.007955831235932465
8,0.009461284198713615
9,0.006354891432587273
10,0.0070134243121904305
11,0.007936516429567275
12,0.005149990878409949
13,0.010024229383563732
14,0.00943201987834874
15,0.006584970884949359
16,0.008965869970515072
17,0.004467822883781114
18,0.0067819975671715715
19,0.009575163788377417
20,0.008315265012323492
21,0.006729721257215493
22,0.009061225005652096
23,0.01087794220029914
24,0.004946927179024896
25,0.004990414744525329
26,0.007678243390194628
27,0.0037869963848380372
28,0.0064829810907234275
29,0.0067959195516644755
