,R^2
0,0.007682028042015343
1,0.013056365917418433
2,0.009408703276532315
3,0.01115774759459176
4,0.009846379537727934
5,0.006397429325580295
6,0.011834458045813845
7,0.009150721674815121
8,0.0044644405613554206
9,0.009456133417496404
10,0.008263764901077941
11,0.01156376344392318
12,0.014616164887435446
13,0.00879076103461729
14,0.012969965279070683
15,0.008768396596318784
16,0.012101026264836778
17,0.009977888121647793
18,0.01176401524548154
19,0.010817513368758136
20,0.010097995596293097
21,0.014436443452356063
22,0.009501003881530856
23,0.009560163940072308
24,0.006546625151114149
25,0.011907564407655169
26,0.008711840855911368
27,0.008277210912915889
28,0.010812852175956733
29,0.010519641380564493
