,R^2
0,0.012502927633842753
1,0.02397246190529645
2,0.013658764168900439
3,0.033551075989840085
4,0.020348925185324385
5,0.00681995932580115
6,0.012145514984900019
7,0.01697721370013272
8,0.03376506021276593
9,0.021534932811438146
10,0.029186776725160124
11,0.02591237635475163
12,0.005155463556920981
13,0.03379787711443638
14,0.025872317051600535
15,0.024197453031851834
16,0.0340256124111713
17,0.022261470242305403
18,0.036219149925316385
19,0.03138025888562612
20,0.02036978135312395
21,0.012457365753537841
22,0.022200243243476803
23,0.023622913382784994
24,0.020580958275996708
25,0.02539954159892921
26,0.029558074962974357
27,0.023421876454703283
28,0.021846873599354222
29,0.018895844958579988
