,R^2
0,0.6693496493023071
1,0.7098632961123362
2,0.6635697510331034
3,0.7523256322802737
4,0.7593986664840594
5,0.8061571608459087
6,0.679286915612347
7,0.8188352712148269
8,0.7977528920551847
9,0.7244881558646855
10,0.7255172240562716
11,0.7316079004609984
12,0.6969832444508476
13,0.7576188175111741
14,0.7103950850208759
15,0.7240093902337043
16,0.6335342692933003
17,0.6971633608769007
18,0.8274573064165832
19,0.6870861920278856
20,0.7938366612421138
21,0.767134984382393
22,0.7615000244629434
23,0.7677459800655159
24,0.6573780032478597
25,0.7989938872199768
26,0.6352043715847263
27,0.7217918031049281
28,0.6564728059607033
29,0.7430455561236927
