,R^2
0,0.010945683134959916
1,0.009051200127017656
2,0.0051349503812372355
3,0.00724164170298347
4,0.003332180808108043
5,0.0052465261843259725
6,0.007761091328306158
7,0.007117563897370838
8,0.012697561121437162
9,0.006962671357904404
10,0.008383714441522194
11,0.008260697335993439
12,0.00968727796892821
13,0.007735033974742733
14,0.011828758286346663
15,0.008153930237024931
16,0.008426139541199529
17,0.0044829424144043895
18,0.011559353380183768
19,0.011219151101835023
20,0.001137360197024595
21,0.009221591005242447
22,0.0077605117838034365
23,0.002823749631403083
24,0.013273420882604525
25,0.006177564607633079
26,0.008069012885627114
27,0.004344021276156407
28,0.010410464402186292
29,0.008916483985216273
