,R^2
0,0.002927450909871121
1,0.004422816013406328
2,0.009669222526242471
3,0.0040807893420719
4,0.005603039486596129
5,0.00536033422043336
6,0.007314082305085123
7,0.006308707064686558
8,0.008603691666725921
9,0.009843777555382238
10,0.006846403193333517
11,0.009645512333126494
12,0.007332738904103242
13,0.0055436486219445635
14,0.006457548108886879
15,0.0068926751315384616
16,0.0025684366256949476
17,0.0056590458950563916
18,0.007172593512595915
19,0.006902049812240296
20,0.003603009435257931
21,0.007117114119793544
22,0.00447339237073352
23,-0.00014160394450035696
24,0.007369140920311046
25,0.007771108186269693
26,0.005962886475395557
27,0.005157364163888012
28,0.009689917115624613
29,0.009509475504581144
