,R^2
0,0.015365333794575942
1,0.019340665855287265
2,0.012113098238058395
3,0.009135294046964781
4,0.01826242906744935
5,0.02595504425225148
6,0.025867108380442372
7,0.01193710407178128
8,0.009159329662879911
9,0.025404520017414667
10,0.006834775200456944
11,0.01757499776331317
12,0.01981849157767457
13,0.016513365103182243
14,0.01504734257025786
15,0.02171566140301029
16,0.021862130058078466
17,0.017988689251882906
18,0.017953576702621876
19,0.007504827208154263
20,0.01778588191150865
21,0.00445853881798397
22,0.021017336036636247
23,0.016939622326548665
24,0.011654139518790463
25,0.010820481153976824
26,0.015926136698558913
27,0.02127891726976594
28,0.015220239634483157
29,0.0099382245516495
