,R^2
0,0.06121116208125177
1,0.0697981346241281
2,0.060729098585992625
3,0.07117108284971152
4,0.09045693274304223
5,0.030766581660580883
6,0.0647430175850573
7,0.07512355412405447
8,0.09169539825740647
9,0.06483261765490145
10,0.09968223164270407
11,0.06631881487577407
12,0.08318657130305196
13,0.06593968860304189
14,0.07444419615778308
15,0.0961180335124161
16,0.07973800370910789
17,0.05937863423443168
18,0.05037959991682772
19,0.08312498913367361
20,0.06544068002300774
21,0.07817518188331518
22,0.06559430778953657
23,0.054971353923816024
24,0.07451343376901398
25,0.0754226817801088
26,0.06611684997032363
27,0.08553699654215585
28,0.07926547968351849
29,0.07745055614644658
