,R^2
0,-5.125423236274074e-06
1,0.0004678510475969455
2,0.00024282814674503328
3,0.0003589672349734174
4,0.0002893233987766308
5,0.00035332874310389784
6,0.00016753425920779108
7,0.0002267149672433577
8,7.837004996691377e-05
9,0.00021855304290097077
10,-0.00014661862453047014
11,0.00047890303156294944
12,0.000601893169133616
13,9.42728843171814e-05
14,0.0003027211722901324
15,0.0003437899960967439
16,0.0005706469617866583
17,0.0003387905544064429
18,0.0002450351137656126
19,0.00022424712748647657
20,0.0005095648166122402
21,0.00011478613469662058
22,0.0003774580104259906
23,0.00018513086272342605
24,5.5407518427808e-06
25,0.00043538837819045995
26,0.00038472021308355586
27,0.0003102972665286474
28,0.00044254062737691946
29,0.0002557690265017065
