,R^2
0,0.03040943241877969
1,0.019605382083978218
2,0.029264289864414872
3,0.0560207823720289
4,0.03281186494569455
5,0.005191296613514473
6,0.01792280563781068
7,0.021745253344674365
8,0.05371553888319536
9,0.002220739826503504
10,0.008793422166557208
11,0.040830293990998245
12,0.02568842124238968
13,0.01087592526168979
14,0.036665575116316296
15,0.03737749218056552
16,0.01201236337225342
17,0.02671489364908075
18,0.030772641268422274
19,0.03098064352413843
20,0.03998262408744113
21,0.045983069741739935
22,0.05006738224719676
23,0.02956039557359713
24,0.024871599694380242
25,0.0203721461416414
26,0.024960214162645267
27,0.01472734722621405
28,0.023131016320751874
29,0.014254401398899663
