,R^2
0,0.005690588993049084
1,0.004336309709870312
2,0.00455513809597019
3,0.004613245794750309
4,0.0038034775246809094
5,0.0041247834390486515
6,0.0052776140980721475
7,0.005078970757293688
8,0.004027787774209646
9,0.005075937654672846
10,0.003511121809988582
11,0.004103655838612386
12,0.005209898099693633
13,0.004325588103477052
14,0.005125755982966385
15,0.004340564668643854
16,0.004785102794628071
17,0.0050642815250457884
18,0.004754985987697191
19,0.005434577703022692
20,0.004946586076082338
21,0.003303179183970828
22,0.004136850362525202
23,0.004519601051881095
24,0.00476681251180755
25,0.003882866080470837
26,0.0044563409193516534
27,0.004170853089605409
28,0.0053313382187853975
29,0.0038186809364034735
