,R^2
0,0.016125318405783684
1,0.013185925656113984
2,0.014884364632093194
3,0.01058697354471283
4,0.01055733464607611
5,0.0126980769416416
6,0.010810936955875206
7,0.015050182548334345
8,0.00774416057996119
9,0.01386768516959247
10,0.011229331164516632
11,0.014848966006111297
12,0.014885560581763602
13,0.010424085114054127
14,0.01055510692348538
15,0.010860211549949428
16,0.009784439806144074
17,0.010303270435491951
18,0.011068762964760226
19,0.009107255023118155
20,0.014256905198101522
21,0.009534254086955518
22,0.015968232436688545
23,0.010055083106060736
24,0.011684158112060805
25,0.013373706660569251
26,0.0159534899060233
27,0.01086943448897093
28,0.01052576950574502
29,0.011084307145479921
