,R^2
0,0.0026039436358479273
1,0.003239581877529707
2,0.0022277152679766044
3,0.0021982400388474987
4,0.003465734098498263
5,0.002399051247618522
6,0.0022873769785625164
7,0.002399413783398807
8,0.0033553670697259452
9,0.0027893991911720484
10,0.002156978210104077
11,0.0028061955967574326
12,0.0019070342937619333
13,0.003240784543425912
14,0.0022348483221511506
15,0.0026022961284131174
16,0.0031090527769734866
17,0.002657662768868252
18,0.0024623475526603933
19,0.0037090368613583724
20,0.002116805362618379
21,0.003752967781468386
22,0.0015837375810814347
23,0.0027395069838589414
24,0.0033301761887361003
25,0.0012974460045245273
26,0.0038233191019341195
27,0.0023681608481921357
28,0.0017462828041132639
29,0.0019491627456535987
