,R^2
0,0.4006316582131505
1,0.4781461033990627
2,0.5813186427566858
3,0.46839783866172946
4,0.45588364469855824
5,0.42219107595043137
6,0.39065544049129486
7,0.4473610438906773
8,0.4656115129090702
9,0.47493642465551356
10,0.3762945308318638
11,0.467488113369685
12,0.4719274214056405
13,0.3935549163681381
14,0.43346801530721313
15,0.4840686506104518
16,0.5054414844238088
17,0.44025115088143874
18,0.4431789002137573
19,0.38964065153552807
20,0.45746940986182894
21,0.49275034527338935
22,0.41977744959428465
23,0.42130099185932635
24,0.4819038848464353
25,0.4674496501395756
26,0.458657406943224
27,0.43137163952625335
28,0.39935105142240224
29,0.43984612287637315
